# Dataset A, B, C
2.9293,   0.3366,   4.2900
6.0607,   -1.8280,   1.8970
2.0337,   -3.7045,   -0.9819
2.6283,   -1.1560,   0.8811
9.4416,   -3.3161,   4.0187
1.3280,   1.3664,   2.2618
7.1069,   1.1435,   1.5242
7.9281,   -2.8842,   0.9287
4.1521,   1.4809,   5.7013
2.0491,   1.7698,   5.3634
1.5995,   2.0615,   0.8443
9.9475,   -5.6718,   -3.8070
6.8890,   -2.5001,   -2.8458
7.1866,   3.5037,   0.6201
1.0292,   -3.2875,   -3.8606
0.0680,   2.5099,   3.0699
4.5991,   2.2363,   1.0510
7.7708,   5.1526,   5.1372
3.4361,   2.1388,   -0.8054
3.6640,   3.3058,   2.2446
6.8929,   -3.7578,   -3.5517
8.1146,   -1.9447,   -3.6906
1.9614,   -2.5078,   5.6130
1.8321,   3.3324,   4.5890
7.9731,   -1.7373,   0.6130
6.4051,   -5.3156,   -0.2246
4.3752,   3.8865,   -3.4430
4.2903,   2.4881,   -0.4907
3.2703,   2.5657,   -1.3585
7.9616,   2.5405,   -0.5436
9.5258,   -1.9898,   2.1438
6.7461,   -0.2831,   -3.7634
7.4502,   1.2232,   -3.5357
7.6434,   -3.1410,   5.0995
7.9334,   -1.1129,   4.6905
6.6036,   1.3545,   3.0502
2.5578,   4.9809,   5.7465
3.0985,   -1.9965,   -2.2021
4.4884,   1.4665,   2.4966
8.5552,   3.4391,   -0.6726
6.0876,   -1.5969,   -1.3460
7.5627,   2.2914,   3.7302
0.7265,   -1.5355,   4.3465
6.9186,   3.8295,   0.6966
2.0530,   1.8317,   -0.5607
7.8999,   2.3267,   0.9576
7.7686,   0.1187,   -0.0239
4.1717,   -0.3866,   -0.2417
1.2793,   -1.2478,   1.8269
3.6329,   -1.2304,   0.4294
3.6645,   -0.3112,   4.7205
5.5519,   -0.0503,   0.8733
9.8353,   -3.4151,   -2.9509
2.8948,   2.8874,   5.5123
4.9333,   -6.2509,   5.9874
6.3141,   -3.1625,   -3.4384
6.6607,   -2.9297,   3.8338
7.1915,   -0.0782,   -2.7708
6.7182,   -0.3915,   5.9296
3.2980,   -1.2502,   -3.2384
6.7078,   0.4141,   2.4933
8.1493,   -4.3663,   -3.4027
3.7990,   -0.8243,   -1.8092
5.3647,   1.7203,   4.1071
5.0239,   -0.4225,   -3.7226
4.2791,   2.0279,   3.3116
10.7941,   2.7580,   -3.1998
5.2429,   -1.6129,   2.3922
4.0149,   5.9025,   5.9837
5.3311,   3.8590,   5.6178
2.3319,   2.7462,   -3.5656
5.7045,   0.1321,   2.8172
2.3255,   3.2143,   3.7737
7.1058,   2.7507,   -3.6374
0.5796,   2.5608,   -1.3882
5.5123,   -2.3565,   -3.0531
5.7947,   1.0702,   -2.6654
7.2916,   -1.5563,   1.6878
0.1050,   -5.0574,   5.9318
3.4847,   2.1975,   0.5203
4.9914,   -0.8324,   3.6641
2.6722,   -0.9177,   -1.0139
6.2223,   5.3012,   2.8756
0.0259,   2.4932,   -1.3919
9.5406,   1.7528,   -2.7366
4.8853,   2.2483,   -3.4246
4.8212,   0.4150,   1.7066
7.4964,   2.1221,   -3.4696
7.8818,   2.6890,   -3.2720
6.5803,   -3.4093,   0.0829
4.8005,   1.9014,   1.6394
5.3231,   1.5163,   1.6315
4.7120,   2.9023,   4.0320
1.3982,   -0.8578,   -2.9576
2.1692,   -6.4589,   5.1062
6.8713,   5.5997,   1.4523
1.1344,   -4.6492,   2.3599
8.5430,   -1.6537,   -0.2703
2.3318,   -0.7696,   0.3232
3.9978,   0.9224,   -3.0809
4.2596,   1.2238,   3.1305
10.4727,   -0.5468,   5.1179
4.4649,   0.0422,   -0.9027
3.7427,   -6.7210,   -2.4054
7.9121,   -3.9710,   1.4785
7.8807,   0.0294,   -0.0800
8.8344,   -3.9984,   -0.1440
5.9268,   -0.9425,   -1.6621
9.3818,   -3.0304,   -0.2810
5.0318,   3.2576,   -1.3917
0.0550,   0.3670,   4.7256
4.0634,   -6.1517,   2.4413
8.0956,   -0.7543,   -3.8404
3.7543,   1.8398,   0.1479
4.0799,   1.0424,   -2.6473
4.6717,   0.8058,   0.0746
7.0409,   5.2033,   1.9805
5.2135,   -3.2739,   3.1146
1.3381,   -5.8863,   3.3141
4.6896,   0.4592,   -0.1314
1.7713,   -3.5068,   4.1889
1.4048,   -2.0921,   5.4889
2.9088,   -0.8741,   -3.6472
9.8502,   4.8923,   1.2043
5.7699,   -2.6499,   -3.8729
6.2800,   5.4283,   0.6561
7.0158,   -0.8841,   -0.0327
5.7602,   -1.3468,   5.6997
3.4849,   1.3771,   -2.6940
2.2092,   -1.8699,   -2.0894
2.7710,   -1.8953,   -1.0557
1.9402,   -3.7210,   0.3146
7.5540,   -1.0906,   0.3827
6.3171,   2.7074,   -2.1669
4.0547,   -0.8570,   -0.7411
7.2615,   5.4180,   0.9950
9.1569,   -2.7164,   2.6158
5.4005,   -2.8825,   3.6580
5.5449,   4.4118,   3.0700
2.7021,   3.2410,   4.1556
5.4323,   3.6544,   -2.8043
3.9191,   -0.9776,   -1.7009
7.8689,   -2.3356,   -1.7901
5.1522,   -0.0208,   -2.4368
8.0084,   -6.5112,   -0.7853
8.1964,   6.7716,   -0.6942
3.6061,   1.1297,   -0.8174
3.6089,   -0.5752,   5.1039
8.2847,   2.2299,   5.4663
3.6129,   -1.0628,   4.1446
3.6994,   -3.7302,   -1.0092
4.4498,   4.0225,   1.2039
7.0990,   -2.3938,   -2.5263
5.4391,   -1.6110,   4.5899
10.7856,   0.0126,   -1.6086
-0.1688,   4.2466,   0.0725
5.3183,   -1.4854,   1.4076
6.8714,   2.9186,   3.0803
6.7567,   1.1197,   3.4677
7.8436,   -3.1911,   0.6351
3.2490,   3.2991,   -2.5180
4.4280,   -1.0580,   -2.9346
5.3624,   1.8330,   5.2822
3.5455,   -0.3026,   4.5063
8.0486,   -1.6696,   2.8204
7.4171,   -0.1973,   3.9147
3.9227,   -0.6873,   -2.0891
3.8403,   -4.0102,   -3.6959
8.7668,   1.4730,   5.7769
10.6800,   1.1813,   3.6261
6.5791,   4.3252,   -2.5516
1.7468,   2.9580,   -2.9473
5.2656,   1.3216,   2.4771
8.0000,   0.5039,   0.4470
0.6899,   -1.2838,   1.0995
2.8444,   -0.5731,   -2.0788
7.3946,   -0.7481,   -2.2757
0.8484,   3.4110,   -1.8539
8.5841,   -0.1755,   1.3635
0.8588,   -3.1297,   1.3731
3.2804,   -2.2040,   -1.8082
-0.3896,   -3.1180,   -3.1412
7.8265,   3.6501,   1.1595
3.7100,   -3.9993,   5.6670
-2.1462,   5.1834,   1.2949
5.2149,   1.8754,   -3.6822
7.9488,   -2.9125,   -2.5868
4.9691,   2.9958,   -1.9811
0.4216,   -2.3656,   0.3384
4.5511,   -1.3711,   1.7554
5.5661,   3.8237,   0.9418
6.6105,   -0.0648,   -0.3463
6.8067,   0.0245,   3.1772
7.7378,   -0.2062,   0.6649
8.5115,   0.7922,   -2.4487
2.6368,   -2.2400,   2.3393
5.6355,   5.1460,   -0.2963
5.1850,   -6.3390,   -0.2222
8.1118,   -5.8186,   5.8504
3.2659,   -1.1489,   5.3677
7.6226,   -6.6450,   -3.7133
4.9703,   -6.2867,   4.9399
5.6732,   0.8417,   0.8210
-2.0214,   3.5460,   0.2272
2.7781,   -0.1945,   2.5179
7.4934,   1.1329,   -0.0117
5.9925,   0.9848,   0.4894
6.2193,   -1.7311,   -0.2289
6.1967,   -7.8424,   1.7400
7.4757,   -8.3693,   4.6043
7.3905,   1.8880,   4.2913
10.7978,   -6.1076,   5.4317
7.4668,   1.8151,   -3.6590
2.4904,   -2.1737,   -0.7597
4.6789,   1.5632,   -0.5029
4.4352,   -1.1906,   -0.2715
5.3171,   2.0260,   -1.1713
4.1768,   -3.5561,   -0.4954
6.8414,   1.8539,   1.8682
12.0611,   -0.4122,   3.8710
3.0734,   2.0217,   1.0334
4.2103,   -3.4360,   0.1919
7.2282,   1.4187,   -3.5377
1.7119,   -4.1499,   0.0420
5.2100,   3.9753,   2.1790
0.8774,   -2.2873,   3.8632
1.4719,   2.9194,   -3.8403
-0.7414,   4.2335,   3.8552
4.6066,   -2.7561,   2.3969
1.5926,   0.1018,   1.8234
-1.0626,   1.1409,   -2.1928
7.2890,   4.9495,   0.0690
8.3005,   -1.5177,   0.7029
0.2914,   -2.8572,   1.2624
5.7208,   3.5524,   -3.8323
8.0189,   2.7756,   3.0099
3.8125,   2.0054,   1.8878
4.1844,   -3.2971,   -0.0500
5.2375,   -1.3335,   -0.7345
5.6352,   2.9337,   -3.2224
7.2770,   0.5901,   1.2980
11.1249,   -1.2590,   -2.9461
5.5634,   1.4284,   -3.5667
9.2288,   -0.3905,   1.5560
4.3441,   -3.8561,   3.6019
2.0801,   3.4549,   -3.4360
4.5686,   -0.3443,   -1.7462
4.7894,   -2.8299,   -3.8339
4.5172,   -4.4950,   4.7555
3.9597,   3.9301,   -0.6720
5.8278,   -4.3793,   4.9308
6.2172,   6.8758,   3.0145
8.6304,   -0.0974,   4.8053
9.1449,   -0.4540,   1.2682
1.3048,   -0.8819,   4.4944
2.9869,   -0.4501,   -1.1702
4.9274,   -3.4816,   -2.5696
8.0517,   -3.3382,   3.6468
7.3877,   2.6352,   -3.2386
3.5527,   -0.8571,   5.3450
4.8935,   -4.3417,   4.8395
7.6420,   -3.0405,   -1.4298
8.1584,   3.6524,   4.1029
3.3347,   0.9354,   -3.1908
9.0566,   -1.2925,   1.9625
5.5650,   0.9810,   -1.2956
5.7527,   -2.0539,   5.6642
3.1883,   1.7393,   -2.8940
6.6269,   -0.1116,   2.8419
5.9849,   -0.1538,   1.8034
5.4958,   -0.8600,   5.9731
0.8681,   -3.6860,   2.8734
-3.3212,   -5.3002,   2.5839
1.6109,   0.3931,   -0.6268
8.1890,   -4.0050,   -2.8211
4.5775,   2.1586,   4.4834
9.0419,   -1.0550,   -2.3304
4.5300,   -1.6219,   4.4562
-2.2433,   -1.9610,   2.8423
8.3047,   -3.0332,   5.7791
5.1705,   -2.7150,   -3.1387
10.8605,   2.4168,   3.2985
9.1670,   7.2859,   -0.4477
1.9467,   3.4279,   -2.5243
6.8168,   -1.9617,   0.2619
3.2582,   -0.1841,   -0.1904
4.9096,   -1.6784,   4.9794
4.3602,   5.6451,   -1.5872
7.2624,   0.8310,   2.9599
6.1967,   0.5252,   4.0680
5.4454,   -4.0555,   3.8438
3.7216,   1.7770,   -0.5097
3.4167,   4.0080,   -0.8633
5.0644,   4.9687,   -0.4283
-0.4246,   -1.0914,   -3.1724
3.4139,   -0.4539,   5.8627
8.4657,   -1.7673,   4.1185
13.6432,   3.4714,   1.2769
5.6415,   0.0699,   1.8241
2.2795,   -2.9906,   4.4390
-0.6624,   1.2235,   -3.5430
1.7317,   3.9158,   0.2466
7.6959,   5.3320,   4.0636
7.4924,   -2.7638,   5.0815
5.1219,   0.4550,   -3.4673
-2.3957,   4.7542,   2.7827
0.4718,   -1.4988,   -2.1435
1.1465,   7.0568,   -2.9528
3.1435,   -0.2621,   2.1684
7.9677,   -3.0518,   0.1356
11.1807,   0.9522,   -0.6930
4.0379,   2.5182,   2.8121
4.0565,   -3.1517,   5.6403
0.2265,   -3.5424,   3.3432
1.1175,   -1.1997,   0.0126
0.3118,   4.0824,   -1.8089
-3.2464,   -4.4199,   0.0155
0.4998,   -3.4378,   -2.5050
5.5861,   -2.0572,   1.6105
13.4453,   -0.5960,   -0.3119
2.9760,   -2.5689,   -1.8672
7.6145,   1.0497,   -1.2764
-0.2058,   6.4305,   3.5727
6.5158,   -2.3927,   -2.0389
2.3371,   3.9945,   4.9989
3.2386,   -3.9081,   0.9684
8.3561,   0.2021,   5.5845
2.5682,   -1.3503,   4.9539
7.9484,   -5.0041,   -3.9100
3.9739,   3.8959,   5.5710
9.3257,   -5.5444,   -0.0502
2.2039,   -2.3966,   -3.6261
8.8954,   1.0521,   1.5648
0.5462,   -4.2241,   5.1355
7.9721,   -1.5570,   -3.1770
4.6304,   -3.7685,   -1.9462
9.2156,   1.9744,   -3.6887
3.0086,   -0.3116,   -3.6932
5.4885,   -2.7435,   4.1787
4.5706,   -0.4831,   3.7883
6.5994,   0.6791,   -1.5713
3.5390,   -1.3380,   -2.7462
4.2562,   -0.8381,   -1.8955
0.4673,   -0.9683,   5.9802
5.2884,   -5.4455,   -2.3425
1.8358,   0.8028,   4.8479
6.2869,   -3.8297,   0.7539
4.3273,   -1.4580,   -2.2698
4.4485,   2.6448,   2.5650
6.6604,   1.6018,   -1.7262
7.8614,   1.4862,   5.8337
3.4401,   0.2806,   2.1456
4.6783,   -5.9944,   -0.4301
6.8051,   2.5894,   -1.1200
10.0449,   0.0175,   -3.0808
6.6019,   4.0629,   -2.8012
6.2371,   -0.3358,   -1.9585
8.2080,   0.9825,   2.5420
3.8602,   1.8416,   1.7818
5.2701,   -3.1333,   0.2258
5.4386,   1.5154,   4.3379
6.3802,   3.2435,   -2.5149
5.0532,   1.5723,   -2.7000
1.1896,   2.8280,   1.2440
5.9396,   1.2417,   5.6434
7.0172,   -2.9569,   -3.7749
4.8397,   2.0184,   5.4556
1.0058,   1.1297,   5.0491
9.7592,   4.9281,   5.2541
10.9618,   -2.5265,   0.9934
8.9078,   -6.5068,   -1.9596
5.6142,   -2.8512,   1.3361
5.9244,   -4.0859,   -0.5348
8.1792,   1.7877,   5.2019
1.5577,   -2.0480,   2.8253
7.9912,   4.2194,   3.5736
7.8648,   -0.8919,   2.6753
-0.7705,   1.0753,   -2.8181
7.0989,   -1.1055,   -2.7066
2.6798,   1.0190,   -0.7462
9.5687,   -1.5193,   -1.6926
11.6191,   2.9648,   2.9405
7.7256,   -1.2175,   -1.0158
0.4111,   0.3732,   3.4155
6.8321,   1.7004,   2.1330
5.9341,   1.1365,   -2.2106
2.4915,   -1.4799,   1.0522
5.4281,   4.8061,   2.4726
3.6486,   0.1586,   3.4802
8.3938,   1.1523,   1.6880
5.4171,   0.0363,   5.1224
0.2263,   2.3606,   4.8325
3.4423,   3.4164,   0.9932
8.8598,   3.1846,   -1.2350
5.6968,   -3.8417,   5.1910
1.5190,   1.8367,   3.4797
1.6121,   0.3137,   5.7326
7.6846,   -1.6563,   0.3773
6.9861,   -2.1623,   -1.5375
0.8338,   0.8956,   -1.9334
7.0882,   -1.3888,   -1.0362
0.7722,   -5.1740,   3.8820
1.3424,   -4.1747,   1.3943
3.6905,   -2.5683,   0.7877
4.1178,   4.2114,   1.5969
9.5573,   0.8400,   0.5833
4.0799,   3.1145,   -2.8354
3.7375,   2.9968,   2.9750
1.7059,   2.3115,   0.6991
0.3652,   0.9259,   5.0596
6.0233,   4.0127,   2.4402
8.2515,   3.8206,   0.9519
8.4612,   -2.9606,   3.2340
9.2094,   -1.8701,   -0.6877
3.2393,   0.4760,   1.6258
3.8241,   -1.5937,   -0.6012
3.2150,   2.3811,   3.9611
-1.4300,   0.7259,   -2.0528
3.7154,   1.2183,   -2.7637
5.7157,   4.5112,   5.5271
5.7957,   -0.1806,   4.6878
1.9010,   -2.2875,   -2.3219
7.4922,   -1.8936,   -3.6785
2.6851,   -0.2744,   5.5499
5.0081,   -0.3851,   -1.8594
10.2845,   -0.8844,   -2.0860
3.9979,   0.2405,   -0.1950
12.7048,   1.4801,   -3.4524
2.5907,   -2.8993,   4.5181
5.6458,   -0.0049,   1.7569
2.6968,   1.3477,   4.2889
6.7807,   1.4909,   0.3668
9.5813,   -8.5925,   0.4921
5.3107,   -2.6101,   -3.5804
1.0363,   7.2462,   2.8003
4.2589,   -2.5681,   -1.8976
-0.3586,   0.4610,   5.9693
15.0058,   1.3469,   -0.7381
4.5029,   0.3953,   -0.4243
2.0423,   3.1207,   4.7571
4.0370,   -0.9022,   5.1648
5.2047,   -0.9247,   -1.5740
8.6109,   1.0405,   -1.7435
0.9544,   -2.6358,   1.9729
9.9976,   1.8886,   -2.3714
3.4442,   -2.6075,   0.2192
4.9551,   -2.6723,   2.3857
4.4806,   1.2898,   3.7478
7.0166,   -1.7525,   3.6009
3.2661,   0.1279,   0.8501
4.9426,   -4.8363,   2.6244
0.3286,   3.8219,   3.7669
7.6418,   -4.1242,   0.1643
4.9370,   1.7481,   -0.6218
5.7367,   -0.6028,   0.8566
6.0869,   0.7611,   -1.4696
5.3043,   -3.2151,   -3.2626
7.4338,   -3.0467,   -0.4135
8.8180,   -2.3823,   3.2179
7.0405,   -1.7798,   5.4790
5.8176,   -2.1649,   -0.3297
4.5518,   -4.3374,   -3.9645
6.0204,   1.7431,   -0.7746
7.2296,   -0.7666,   -3.0147
8.4541,   -2.7350,   4.7361
8.4525,   -0.0278,   1.5244
3.4044,   5.2917,   -2.1785
3.2676,   2.6148,   1.0495
4.7436,   0.2069,   4.0791
5.9845,   -1.6872,   3.4091
3.5678,   0.9647,   4.2727
-1.7212,   -2.6441,   3.7118
3.9776,   2.3548,   -1.5472
0.4366,   -0.5999,   2.2129
8.0510,   -1.3313,   5.4781
7.2956,   -6.2959,   2.7245
2.7765,   -3.4231,   5.3434
1.1801,   -0.9643,   1.8659
3.1509,   4.2613,   3.0856
2.0383,   -3.1992,   5.9783
5.7317,   -2.8445,   1.9835
5.7380,   -1.4602,   1.7523
8.9428,   -2.6744,   -0.1202
5.7902,   2.2517,   0.0169
3.7290,   -2.0705,   0.7023
0.3078,   0.0582,   -0.1322
11.0686,   1.5907,   5.3817
7.3574,   4.6778,   4.2284
5.2910,   1.3412,   -2.6912
3.2215,   -0.5427,   5.4528
4.4794,   3.0366,   4.1358
5.6958,   0.2019,   5.1554
8.7528,   2.2799,   -1.3650
8.1387,   -2.6627,   1.1958
1.6476,   -1.2670,   4.1701
5.0155,   -0.0232,   -1.4871
0.6491,   6.6987,   -3.8705
2.4342,   2.6671,   -2.5075
2.7364,   -6.0014,   -1.9846
1.9117,   -1.2635,   5.0703
-0.1217,   -1.4914,   -0.7246
2.4470,   -3.0037,   3.3410
3.0993,   -2.2006,   3.8837
4.6584,   -7.9699,   1.7003
6.5375,   -8.5575,   4.7608
2.4452,   -2.6145,   -3.2752
3.5940,   -4.0804,   0.2226
-0.0925,   2.7975,   3.1833
1.0331,   0.2182,   2.3111
5.1557,   2.2357,   -3.3357
3.0460,   -1.1805,   5.3370
6.1375,   7.6201,   -0.3592
8.8268,   0.9368,   -2.8024
3.4114,   -0.8926,   1.7974
7.2735,   2.8186,   -0.3353
8.1136,   3.5226,   -3.3430
5.4662,   -1.3810,   3.4228
2.0608,   1.4343,   -2.5703
4.3221,   -2.7591,   0.3962
1.2733,   -4.2950,   -3.6855
5.3750,   -3.0632,   -2.9343
10.7070,   1.1943,   5.9722
2.8545,   -3.1064,   2.0974
-0.7390,   0.3297,   -3.3418
5.4195,   1.5513,   -0.5153
-1.3624,   -1.4524,   3.0890
0.7671,   -2.7109,   -0.2410
3.1805,   2.3598,   -0.5252
6.5218,   -5.4412,   -2.7218
7.8714,   -2.8832,   5.1796
4.7275,   -2.5618,   -3.0376
3.6718,   0.4716,   -3.3176
3.8960,   5.5496,   -2.0831
3.5076,   1.0024,   -1.1170
-2.1740,   -1.1192,   3.3751
1.1776,   -0.5610,   0.5284
5.0795,   3.5743,   1.4973
5.7925,   0.3421,   -2.5457
4.7559,   0.2866,   -0.3392
7.4212,   3.2779,   0.3673
1.6348,   -5.0652,   2.8657
5.9145,   2.1907,   -3.7359
3.9379,   1.3620,   5.0879
10.2599,   0.5924,   2.7940
3.0103,   -8.7842,   -0.5657
4.4252,   -1.8148,   -0.4686
7.5577,   -5.3323,   0.8766
1.1534,   -1.9454,   0.3090
0.3783,   -1.7744,   4.4704
-1.1328,   -1.3478,   3.4606
3.6626,   0.8577,   -0.7714
1.5563,   -1.4874,   -3.4678
5.8857,   4.3238,   5.5308
1.8605,   -1.3027,   2.0091
5.0984,   0.5309,   3.2073
9.0450,   0.4587,   5.9200
1.6689,   0.0468,   -3.4411
2.8273,   0.3694,   1.0775
2.3145,   1.0844,   4.1734
7.4579,   0.7570,   2.8063
1.6473,   -1.1649,   -0.7561
3.8617,   -0.0230,   3.7361
3.5621,   6.3694,   3.4410
8.0864,   -0.9070,   0.9067
3.1510,   1.6616,   4.9125
5.8714,   4.9478,   4.1930
2.3637,   6.1513,   1.3340
7.1314,   5.0913,   0.4711
4.8146,   -3.1494,   1.6457
9.2274,   0.8543,   -3.9736
11.3895,   -2.0498,   4.7003
3.7437,   4.0141,   1.1589
3.7347,   3.0471,   -0.0596
-1.1701,   2.3452,   -0.2889
1.1702,   -2.4522,   -2.6400
5.4415,   4.1190,   1.1712
4.2459,   5.7248,   4.8422
4.2242,   -0.4551,   -2.2155
1.4818,   -0.4153,   -0.3953
5.5930,   0.3077,   0.4372
6.4459,   0.2484,   -3.3533
10.5786,   3.6879,   -1.2327
5.9640,   2.7918,   -2.3974
6.2024,   -1.8632,   4.8165
5.7205,   -2.7800,   -0.1333
4.5068,   0.3974,   -0.0758
4.3225,   -5.6431,   -0.6652
3.8422,   -1.6879,   2.5483
4.2753,   2.1950,   -1.3750
6.1863,   1.1115,   2.3874
6.4600,   -0.4610,   -0.3175
0.7909,   1.7471,   1.2088
1.0537,   -3.9093,   -3.3406
4.7268,   1.7389,   3.4017
7.5694,   0.0407,   -0.9990
2.9103,   -0.6420,   5.0934
5.5564,   -1.3004,   1.1044
4.8674,   -0.5399,   3.9909
7.1426,   1.3190,   -1.1262
6.2012,   -0.4621,   -3.7193
3.4954,   -1.8416,   5.8402
8.8775,   -2.9026,   2.7507
4.1870,   -5.9558,   -3.5146
8.3309,   -2.4176,   -3.5077
3.9768,   4.4825,   0.4265
7.5435,   -0.7280,   5.6814
1.5635,   1.0680,   0.6434
7.6088,   -2.5714,   -0.6193
3.4708,   -0.0000,   0.6510
5.9482,   -1.2259,   1.8868
2.5130,   -1.1198,   -0.5366
5.9958,   5.9972,   5.0848
0.6238,   -4.9499,   -2.5039
4.3845,   2.5435,   1.6881
1.0153,   3.0803,   2.0667
5.2324,   1.3489,   -2.5542
5.1518,   2.4888,   -0.0780
7.1677,   0.3616,   -3.2118
8.7005,   1.0087,   5.1990
1.3559,   -0.3241,   -1.8331
5.3243,   -1.1413,   1.6251
7.5413,   -0.5061,   -2.5252
12.2280,   2.5262,   4.8860
6.2506,   -1.9709,   0.0872
5.8409,   -0.1524,   -1.9482
4.9096,   2.4212,   5.1116
5.1627,   -0.4734,   -0.2584
10.2545,   3.5193,   0.8476
8.2445,   -2.8626,   2.4507
4.3597,   -2.1074,   3.4495
3.3306,   4.1519,   2.3328
3.4182,   0.5386,   4.7495
2.9319,   4.5166,   -0.8533
4.5938,   -0.9685,   -0.3609
5.8730,   1.5410,   1.8255
4.4988,   -0.8735,   -2.0687
4.4932,   -2.5885,   0.7615
1.4196,   1.0517,   3.8533
7.4192,   1.2362,   -2.0223
-3.3638,   2.6641,   -2.5201
5.1476,   -1.4659,   2.6425
6.6352,   -2.1395,   1.4097
5.9609,   2.9924,   4.6760
2.7680,   -5.4562,   0.8540
5.6425,   -0.7716,   5.8901
-2.2279,   -0.4786,   -2.9800
8.1423,   -2.2186,   -0.3431
2.6320,   1.3558,   5.1781
5.5787,   -5.1142,   -0.0356
0.7611,   0.8328,   -1.2068
6.2235,   0.2830,   -1.7240
6.8933,   0.0770,   -0.2337
4.7983,   -2.7122,   0.5780
12.2592,   -1.0328,   0.6437
6.1731,   -5.0033,   2.1487
4.5037,   -3.1380,   1.9347
3.0596,   -1.3934,   -3.0517
5.2449,   1.0371,   0.2643
8.4983,   -6.6421,   2.4620
4.7626,   3.2310,   -0.2154
0.9252,   2.0356,   -1.8057
5.9822,   -1.0774,   -1.9399
10.1010,   -3.0235,   -2.5128
6.4899,   2.4429,   1.2346
1.1990,   4.1769,   2.8289
5.3269,   2.6410,   -1.8571
5.4554,   -0.9287,   -3.6726
8.1270,   -3.2124,   -2.3465
5.3406,   -1.1855,   4.3824
1.9749,   -3.0714,   1.0887
5.8985,   1.8496,   -2.8239
2.3074,   -2.9879,   3.9735
5.0736,   0.5970,   0.6751
8.3101,   -5.5401,   0.7079
-1.4681,   0.2836,   5.7487
2.0528,   -4.6729,   -2.3738
5.7692,   0.4591,   1.2736
0.6323,   1.1207,   4.6135
4.6389,   1.8687,   3.3364
4.2289,   -1.3718,   2.1669
-2.0317,   -2.8937,   -3.0694
3.6767,   0.9916,   0.9368
7.5275,   3.0881,   0.9842
10.1121,   -0.4918,   -0.2691
10.5682,   -1.3954,   -0.0050
4.4041,   5.0941,   4.6323
7.6689,   -1.9019,   -3.6114
7.1337,   0.1223,   3.3776
1.2838,   -0.0168,   3.7777
9.6338,   1.9915,   2.3225
6.4159,   -1.3596,   -1.9688
7.0087,   -0.3153,   5.1729
2.6359,   -2.9803,   1.9566
2.4478,   3.0191,   -2.6779
1.5267,   -0.4994,   2.7504
7.1577,   -3.8192,   4.6617
8.6567,   2.2698,   4.8574
3.9118,   2.4522,   -2.9282
6.7512,   1.3914,   -1.4015
4.5966,   -2.2476,   -0.9683
7.9170,   -0.6218,   5.1029
3.2760,   -4.9073,   -2.2840
3.4915,   4.2232,   0.6163
5.6555,   -1.9357,   -3.1254
7.1646,   7.5198,   0.0300
4.1056,   -1.4486,   -3.0931
1.0199,   0.7682,   -1.6960
3.2378,   5.1890,   -0.3577
10.1766,   -3.8999,   3.4754
8.6854,   8.0701,   2.8384
2.2458,   -5.0231,   0.1996
2.6750,   -3.4543,   3.0985
3.4962,   4.1173,   -2.0771
4.7861,   0.5327,   5.0342
0.6068,   -0.1854,   0.0764
6.7135,   4.7088,   4.0410
8.5774,   0.2429,   0.0741
7.3823,   -0.4780,   3.6458
3.3861,   -1.5322,   1.0139
4.1789,   2.8848,   4.4231
7.2609,   3.5958,   0.8128
9.0535,   -6.9040,   -2.9591
2.3299,   3.9918,   -3.6805
8.5395,   0.9730,   1.9289
-0.5795,   0.4573,   -2.7499
8.0181,   3.5750,   -2.7371
5.6231,   2.6102,   2.1239
3.3740,   4.0073,   1.6877
4.6824,   1.4836,   1.5594
3.2278,   0.2764,   0.9469
2.6123,   -3.3552,   3.3782
6.8040,   5.4673,   3.0517
7.0645,   -1.4446,   5.6301
5.3252,   1.9134,   2.5439
11.5206,   -3.2217,   5.0026
3.8314,   3.8915,   3.0350
10.9351,   -0.2065,   4.0780
6.5833,   -3.7893,   -0.3592
7.1875,   -2.3098,   -1.3879
1.2014,   1.0621,   0.6041
5.2488,   -1.2405,   -0.3505
8.4967,   -0.5858,   -1.1657
5.8493,   -0.2362,   2.3970
9.8447,   -2.5706,   -3.4136
3.3250,   0.7082,   4.0895
5.8370,   -4.5429,   -2.7379
6.0610,   -7.4035,   2.0018
3.8233,   -0.4851,   5.6331
9.2958,   -5.9825,   5.6303
1.1447,   1.5219,   -0.6365
4.6954,   0.8663,   -0.3236
4.5404,   1.4803,   -2.5079
3.2410,   -0.5026,   2.2993
11.8217,   3.6235,   1.0680
4.9088,   -0.6120,   5.6994
11.6940,   -7.0958,   -1.5001
5.7577,   -1.3126,   -0.2728
5.0795,   -0.7728,   4.3866
9.6208,   -0.5890,   -1.7444
4.5051,   -0.3028,   5.8085
5.9224,   0.6702,   3.2615
5.8379,   2.2525,   5.9114
4.0037,   0.3263,   5.9604
9.2553,   0.0653,   1.6938
7.9495,   0.9995,   -0.9353
4.9807,   0.3445,   -2.4490
5.6907,   -1.3143,   0.7098
6.9245,   -2.2128,   4.0425
6.3910,   -5.6365,   -0.7562
10.1654,   -2.4548,   3.1718
8.5501,   7.3178,   -3.2182
6.7382,   1.7524,   -2.5224
5.2057,   2.4497,   3.3299
7.1506,   2.4000,   3.9491
4.1884,   -0.9719,   -2.3285
1.7269,   -6.8572,   0.3268
6.7607,   4.7415,   -2.4856
3.4669,   0.3642,   0.8731
